STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIBENG CIS (RESTO CIS CY 2026),SISON,"5000000.00","4743531.93",1,,22-Dec-25,,,R1-PIMO-26-11-009,"4715891.27",SOLID STAR BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,"Resto CIS - Construction of Canal Lining and Structures at Main Canal 
(Sta 0+106.50 - 1+148.80)",,,,,,,,,,,
3,MACAO CIS (RESTO CIS CY 2026),SISON,"5000000.00","4703761.11",1,,22-Dec-25,,,R1-PIMO-26-11-011,"4678255.53",SOLID STAR BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,"Resto CIS - Construction of Canal Lining and Structures at Main Canal 
(Sta. 1+530.10 - 1+710) and Lateral A (Sta. 0+278.10 - 0+800)",,,,,,,,,,,
4,CONVENTO CIS (RESTO CIS CY 2026),POZORRUBIO,"7500000.00",,,,,,,,,,,"Resto CIS - Construction of Embankment Protection, Canal Lining and Structures 
(Sta. 0+105 - 0+220)",,,,,,,,,,,
5,ESPERANZA CABARITAN CIS (RESTO CIS CY 2026),SISON,"10500000.00","9956542.33",1,,22-Dec-25,,,R1-PIMO-26-11-010,"9908244.56",SOLID STAR BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,"Resto CIS - Construction of Canal Lining and Structures at Main Canal 
(Sta. 2+118 - 2+320, 0+005.40 - 0+860, 0+518 - 0+735)",,,,,,,,,,,
6,PINDANGAN CIS (RESTO CIS CY 2026),SISON,"10000000.00","9484196.32",1,,22-Dec-25,,,R1-PIMO-26-11-012,"9453955.75",R.A MATIAS CONSTRUCTION AND DEVELOPERS INC.,Waiting for the SARO/ASA - For Award,Resto CIS - Construction of Canal Lining and Structures (Sta. 0+314 - 1+185),,,,,,,,,,,
13,Repair of Communal Irrigation Systems,,"362000000.00","302905895.94",7,2,,0,,,"112582539.89",,,,,,,,,,,,,,
1,CABANGARAN CIS (REPAIR CIS CY 2026),UMINGAN,"5000000.00","4736024.35",1,,15-Dec-25,,,R1-PIMO-26-11-001,"4705389.81",RIVBROS CONSTRUCTION FACTORS & DEVELOPERS,Waiting for the SARO/ASA - For Award,"Repair CIS - Construction of Canal Lining and Structures 
(Sta. 0+011.60 - 0+356)",,,,,,,,,,,
2,PEMIENTA CIS (REPAIR CIS CY 2026),UMINGAN,"5000000.00","4747363.80",1,,15-Dec-25,,,R1-PIMO-26-11-002,"4697293.88",RIVBROS CONSTRUCTION FACTORS & DEVELOPERS,Waiting for the SARO/ASA - For Award,"Repair CIS - Repair of Canal Lining and Structures @ Right Main Canal 
(Sta. 0+155.80 - 0+310.60) and Left Main Canal (0+015.10 - 0+025.10)",,,,,,,,,,,
3,SAN JOSE CIS (REPAIR CIS CY 2026),ANDA,"5000000.00","4738569.78",1,,15-Dec-25,,,R1-PIMO-26-11-003,"4715288.15",SZCON BUILDERS & CORPORATION,Waiting for the SARO/ASA - For Award,Repair CIS - Repair of Salt Instrusion Dam and Embankment Protection,,,,,,,,,,,
4,CONCEPCION CIS (REPAIR CIS CY 2026),UMINGAN,"5000000.00","4733457.58",1,,29-Dec-25,,,R1-PIMO-26-11-017,"4698419.37",VYRAGUS CONSTRUCTION,Waiting for the SARO/ASA - For Award,Repair CIS - Repair of Canal Lining and Structures (Sta. 0+011.90 - 0+182.10),,,,,,,,,,,
